Name,Grade
SHIVAM MAAN,Exceptional
Subhasis Ramaswamy,Fair
Nivedita Chaudhri,Fair
Vishal Dixit,Fair
Sonu Sarkar,Exceptional
GATTUKINDI VISHNUTEJA,Exceptional
AKSHAY Chaudhuri,Poor
SHASHWAT AGRAWAL,Good
Shivam Pandey,Fair
ANKUR GUPTA,Exceptional
Shivbihari Bhargava,Poor
JATTI SUNIL MADHUKARRAO,Exceptional
Manish Kumar Gupta,Good
Arvind Ramaswamy,Poor
TANMAY TIWARI,Exceptional
Tamanna Yadav,Exceptional
Sonu Saxena,Poor
Shubham Sahni,Poor
SANDEEP KUMAR,Very Good
Samarjeet Rattan,Fair
Nitesh Brahmbhatt,Poor
Chandan Swaroop Meena,Good
Sunil Chawla,Good
Ankit Chopra,Exceptional
Subhasis Shroff,Very Good
RAMAVATH KESAVA VENKATA SAINADH NAIK,Poor
ATUL KUMAR MANGAT,Poor
RAGHAV JHUN JHUN WALA,Poor
HARKESH KOLI,Exceptional
Nitesh Gill,Poor
Arvind Goswami,Poor
BHASKAR RAJORIA,Very Good
TEJAS SRIVASTAVA,Very Good
SANSKAR CHORDIYA,Exceptional
PRIYANK JAIN,Poor
KRISHNAKANT VERMA,Good
ASHISH KUMAR SHAKYA,Exceptional
Sanjay Apte,Poor
Mridul Roy,Fair
KARNIK ADVAIYA ASHOK,Good
MORVI BHOJWANI,Good
Shubham Mukhopadhyay,Good
Ankit Singhal,Exceptional
SUBHRAM SUBHRAJYOTI RANA,Very Good
VARINDER SINGH,Fair
Vinay Dubey,Exceptional
Shivbihari Reddy,Very Good
RISHABH KISHORE,Poor
GOPALARAM DHERU,Exceptional
VINIT SINGH YADAV,Exceptional
Samarjeet Gupta,Good
AKSHAY Atwal,Exceptional
WAJAHAT KHAN,Good
Shubham Sandhu,Very Good
Nitesh Das,Good
Sanjay Raman,Poor
Virendra Kumar,Good
CHETNA,Very Good
RAJKUMAR KHICHAR,Exceptional
Shivram Deshmukh,Very Good
SONU KUMAR NAGAR,Fair
NARKHEDE NIKITA RAJENDRA,Exceptional
SAHIL MEENA,Very Good
Belete Sirahbizu Yigezu,Very Good
PUNEET VERMA,Poor
JAISWAL JAYNIL,Poor
AKASH DEEP,Good
Sudhir Seth,Fair
Sonu Bhardwaj,Good
SAMAR SINGH KARNAWAT,Good
Sudhir Bhargava,Exceptional
AKSHAY Chakraborty,Exceptional
Vinay Chawla,Poor
Kamlesh Banerjee,Poor
GWMSHRANG BASUMATARY,Good
Nitesh Dutta,Good
RATNADEEP NATH,Good
Sunil Bhavsar,Very Good
ABHISHEK KAPASIA,Exceptional
MEENAKSHI GAUSINGHA,Fair
ANKIT MAURYA,Good
Samarjeet Dutta,Very Good
ALOK GUPTA,Very Good
DIVYANSHU SETIA,Fair
UTKARSH SHUKLA,Exceptional
ANIMESH KUITY,Fair
SHIVAM DWIVEDI,Fair
Haseeb Ahmed,Exceptional
YUGANT KUMAR,Poor
Aneet Saxena,Fair
PRABHAT KUMAR RAO,Poor
Shivram Dube,Fair
GURPREET SINGH,Poor
Sudhir Ghosh,Very Good
Aditya Kumar Anupam,Fair
ARUN KANT DWIVEDI,Fair
SPARSH HANS,Fair
Mukul Toppo,Good
Sonu shukla,Fair
HIMANSHU PAL,Poor
MOHD ASIF,Fair
KOTA CHANIKYA VENKATA SAI HARANADH,Poor
Shakeel Ahmad Waseem,Poor
Ankur,Poor
SAURAV KUMAR,Fair
Sudhir Mehra,Good
Mridul Mehta,Very Good
Mridul Dugal,Good
AKSHAY Bose,Fair
